algorithm,input,n,time_ms,comparisons,max_depth
mergesort,random,1000,0.0475,9497,8
quicksort,random,1000,0.0831,11647,6
insertionsort,random,1000,0.4044,252128,0
mergesort,random,10000,0.7735,127063,11
quicksort,random,10000,1.0989,168870,8
insertionsort,random,10000,37.8354,24784526,0
mergesort,random,100000,11.9780,1639494,14
quicksort,random,100000,12.2558,2284026,11
mergesort,random,1000000,167.5039,19890377,18
quicksort,random,1000000,154.8067,26207771,13
mergesort,sorted,1000,0.0252,4236,8
quicksort,sorted,1000,0.0781,11166,7
insertionsort,sorted,1000,0.0034,999,0
mergesort,sorted,10000,0.4807,59248,11
quicksort,sorted,10000,1.0683,153015,8
insertionsort,sorted,10000,0.0231,9999,0
mergesort,sorted,100000,3.6204,744016,14
quicksort,sorted,100000,7.6786,2100064,11
mergesort,sorted,1000000,42.4336,9071040,18
quicksort,sorted,1000000,86.1467,24636408,13
mergesort,duplicates,1000,0.0389,9172,8
quicksort,duplicates,1000,0.0161,3348,2
insertionsort,duplicates,1000,0.3402,225449,0
mergesort,duplicates,10000,0.5974,121669,11
quicksort,duplicates,10000,0.1784,36906,2
insertionsort,duplicates,10000,35.3159,22777953,0
mergesort,duplicates,100000,6.6699,1563703,14
quicksort,duplicates,100000,1.7923,309283,3
mergesort,duplicates,1000000,78.3689,18925233,18
quicksort,duplicates,1000000,19.1223,3699921,2
mergesort,reversed,1000,0.0297,8060,8
quicksort,reversed,1000,0.0630,11108,7
insertionsort,reversed,1000,0.7647,499500,0
mergesort,reversed,10000,0.3900,93648,11
quicksort,reversed,10000,0.6454,158237,9
insertionsort,reversed,10000,76.9543,49995000,0
mergesort,reversed,100000,4.8264,1208816,14
quicksort,reversed,100000,7.7489,2080259,10
mergesort,reversed,1000000,61.5028,14168064,18
quicksort,reversed,1000000,85.4767,24258708,14
quickselect,random,1000,0.0160,2912,1
deterministicselect,random,1000,0.0410,7627,5
quickselect,random,10000,0.1221,25511,1
deterministicselect,random,10000,0.4557,83250,6
quickselect,random,100000,2.1170,523676,1
deterministicselect,random,100000,4.8081,839475,8
quickselect,random,1000000,17.6662,3618952,1
deterministicselect,random,1000000,37.5056,8528771,9
quickselect,sorted,1000,0.0077,2558,1
deterministicselect,sorted,1000,0.0184,6238,5
quickselect,sorted,10000,0.0524,20109,1
deterministicselect,sorted,10000,0.2176,68030,6
quickselect,sorted,100000,0.6039,267836,1
deterministicselect,sorted,100000,2.1582,709499,8
quickselect,sorted,1000000,4.7653,2249139,1
deterministicselect,sorted,1000000,20.4107,7217916,9
quickselect,duplicates,1000,0.0150,2720,1
deterministicselect,duplicates,1000,0.0125,3129,5
quickselect,duplicates,10000,0.1655,29808,1
deterministicselect,duplicates,10000,0.1488,30901,6
quickselect,duplicates,100000,0.6781,100000,1
deterministicselect,duplicates,100000,1.5270,309169,8
quickselect,duplicates,1000000,11.4357,2300547,1
deterministicselect,duplicates,1000000,15.1325,3100565,9
quickselect,reversed,1000,0.0060,1819,1
deterministicselect,reversed,1000,0.0210,7347,5
quickselect,reversed,10000,0.0636,23350,1
deterministicselect,reversed,10000,0.2859,78172,6
quickselect,reversed,100000,0.6712,283952,1
deterministicselect,reversed,100000,2.2784,798554,8
quickselect,reversed,1000000,5.1192,2186875,1
deterministicselect,reversed,1000000,21.9734,8099863,9
closestpair,random,1000,2.8719,9857,10
closestpair,random,10000,35.8269,133409,13
closestpair,random,100000,128.7870,1678725,17
closestpair,random,1000000,1602.8942,19893560,20
closestpair_bruteforce,random,1000,11.4430,499500,0
closestpair_bruteforce,random,2000,21.4479,1999000,0
