algorithm,input,n,time_ms,comparisons,max_depth,swaps,allocations,recursive_calls
mergesort,random,1000,0.0475,9497,8,8986,1,207
quicksort,random,1000,0.0831,11647,6,10976,0,202
insertionsort,random,1000,0.4044,252128,0,251135,0,0
mergesort,random,10000,0.7735,127063,11,121958,1,2047
quicksort,random,10000,1.0989,168870,8,162217,0,2008
insertionsort,random,10000,37.8354,24784526,0,24774529,0,0
mergesort,random,100000,11.9780,1639494,14,1580778,1,16383
quicksort,random,100000,12.2558,2284026,11,2217399,0,20003
mergesort,random,1000000,167.5039,19890377,18,19299958,1,164991
quicksort,random,1000000,154.8067,26207771,13,25541155,0,199856
mergesort,sorted,1000,0.0252,4236,8,6640,1,207
quicksort,sorted,1000,0.0781,11166,7,10504,0,207
insertionsort,sorted,1000,0.0034,999,0,0,0,0
mergesort,sorted,10000,0.4807,59248,11,100000,1,2047
quicksort,sorted,10000,1.0683,153015,8,146364,0,2004
insertionsort,sorted,10000,0.0231,9999,0,0,0,0
mergesort,sorted,100000,3.6204,744016,14,1300000,1,16383
quicksort,sorted,100000,7.6786,2100064,11,2033364,0,19996
mergesort,sorted,1000000,42.4336,9071040,18,16271360,1,164991
quicksort,sorted,1000000,86.1467,24636408,13,23969671,0,200047
mergesort,duplicates,1000,0.0389,9172,8,8837,1,207
quicksort,duplicates,1000,0.0161,3348,2,2348,0,4
insertionsort,duplicates,1000,0.3402,225449,0,224452,0,0
mergesort,duplicates,10000,0.5974,121669,11,119855,1,2047
quicksort,duplicates,10000,0.1784,36906,2,26906,0,3
insertionsort,duplicates,10000,35.3159,22777953,0,22767955,0,0
mergesort,duplicates,100000,6.6699,1563703,14,1553566,1,16383
quicksort,duplicates,100000,1.7923,309283,3,209283,0,4
mergesort,duplicates,1000000,78.3689,18925233,18,18993585,1,164991
quicksort,duplicates,1000000,19.1223,3699921,2,2699921,0,3
mergesort,reversed,1000,0.0297,8060,8,11400,1,207
quicksort,reversed,1000,0.0630,11108,7,10461,0,199
insertionsort,reversed,1000,0.7647,499500,0,499500,0,0
mergesort,reversed,10000,0.3900,93648,11,143920,1,2047
quicksort,reversed,10000,0.6454,158237,9,151578,0,1995
insertionsort,reversed,10000,76.9543,49995000,0,49995000,0,0
mergesort,reversed,100000,4.8264,1208816,14,1861024,1,16383
quicksort,reversed,100000,7.7489,2080259,10,2013685,0,20017
mergesort,reversed,1000000,61.5028,14168064,18,22321600,1,164991
quicksort,reversed,1000000,85.4767,24258708,14,23591994,0,199804
quickselect,random,1000,0.0160,2912,1,2903,0,9
deterministicselect,random,1000,0.0410,7627,5,6611,0,41
quickselect,random,10000,0.1221,25511,1,25496,0,16
deterministicselect,random,10000,0.4557,83250,6,72517,0,196
quickselect,random,100000,2.1170,523676,1,523655,0,21
deterministicselect,random,100000,4.8081,839475,8,729639,0,830
quickselect,random,1000000,17.6662,3618952,1,3618927,0,26
deterministicselect,random,1000000,37.5056,8528771,9,7423186,0,3541
quickselect,sorted,1000,0.0077,2558,1,2549,0,9
deterministicselect,sorted,1000,0.0184,6238,5,4679,0,45
quickselect,sorted,10000,0.0524,20109,1,20095,0,14
deterministicselect,sorted,10000,0.2176,68030,6,51634,0,193
quickselect,sorted,100000,0.6039,267836,1,267816,0,21
deterministicselect,sorted,100000,2.1582,709499,8,541882,0,877
quickselect,sorted,1000000,4.7653,2249139,1,2249109,0,31
deterministicselect,sorted,1000000,20.4107,7217916,9,5533898,0,3833
quickselect,duplicates,1000,0.0150,2720,1,2336,0,4
deterministicselect,duplicates,1000,0.0125,3129,5,2502,0,5
quickselect,duplicates,10000,0.1655,29808,1,23835,0,6
deterministicselect,duplicates,10000,0.1488,30901,6,24511,0,6
quickselect,duplicates,100000,0.6781,100000,1,89962,0,1
deterministicselect,duplicates,100000,1.5270,309169,8,245685,0,8
quickselect,duplicates,1000000,11.4357,2300547,1,2000804,0,3
deterministicselect,duplicates,1000000,15.1325,3100565,9,2455842,0,18
quickselect,reversed,1000,0.0060,1819,1,1813,0,6
deterministicselect,reversed,1000,0.0210,7347,5,7067,0,38
quickselect,reversed,10000,0.0636,23350,1,23335,0,16
deterministicselect,reversed,10000,0.2859,78172,6,74749,0,160
quickselect,reversed,100000,0.6712,283952,1,283929,0,23
deterministicselect,reversed,100000,2.2784,798554,8,763074,0,658
quickselect,reversed,1000000,5.1192,2186875,1,2186853,0,22
deterministicselect,reversed,1000000,21.9734,8099863,9,7749055,0,2935
closestpair,random,1000,2.8719,9857,10,9195,1,975
closestpair,random,10000,35.8269,133409,13,123882,1,8191
closestpair,random,100000,128.7870,1678725,17,1554925,1,68927
closestpair,random,1000000,1602.8942,19893560,20,19141363,1,951423
closestpair_bruteforce,random,1000,11.4430,499500,0,0,0,0
closestpair_bruteforce,random,2000,21.4479,1999000,0,0,0,0
